Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
2158336,2016-05-24 09:44:33,www.kronfagel.se,www.kronfagel.se,[],http,,up,2025-05-05 08:33:25,d12nrjfx5h3w6k.cloudfront.net.,54.192.18.51;54.192.18.58;54.192.18.47;54.192.18.56,ns-1479.awsdns-56.org.;ns-638.awsdns-15.net.;ns-1736.awsdns-25.co.uk.;ns-174.awsdns-21.com.
2213491,2016-07-03 16:09:18,zd1652827-www.oslotech.no,www.oslotech.no,"[""ws53""]",http,,paused,2025-03-03 01:38:10,,194.63.248.52,
2269693,2016-08-18 07:10:02,Episerver Cloud API / License API,cloud-api.episerver.com,"[""cloudapi""]",http,,up,2025-05-05 08:33:00,,217.114.93.53,
2332616,2016-10-12 15:14:41,www.periodicfevers.com,www.periodicfevers.com,[],http,,paused,2024-12-09 11:41:27,www.periodicfevers.com.cdn.cloudflare.net.,172.64.154.69;104.18.33.187,
2380446,2016-11-21 04:22:11,www.flinnsci.com,www.flinnsci.com,"[""flscprodwebs""]",http,,up,2025-05-05 08:33:14,www.flinnsci.com.cdn.cloudflare.net.,104.18.36.202;172.64.151.54,
2380449,2016-11-21 04:25:53,www.flinnsci.ca,www.flinnsci.ca,"[""flscprodwebs""]",http,,up,2025-05-05 08:33:55,www.flinnsci.ca.cdn.cloudflare.net.,172.64.148.186;104.18.39.70,
2389313,2016-11-23 21:25:16,www.aranas.se,www.aranas.se,[],http,,up,2025-05-05 08:33:51,aranas.se.,217.114.90.151,ns1.ilait.se.;ns3.ilait.se.;ns2.ilait.se.;ns4.ilait.se.
2472894,2017-01-23 11:25:53,www.flamestudy.dk,www.flamestudy.dk,[],http,,up,2025-05-05 08:33:49,www.flamestudy.dk.cdn.cloudflare.net.,104.18.42.45;172.64.145.211,
2472895,2017-01-23 11:25:53,www.flame-study.dk,www.flame-study.dk,[],http,,up,2025-05-05 08:33:43,www.flame-study.dk.cdn.cloudflare.net.,172.64.147.75;104.18.40.181,
2498089,2017-01-30 15:23:53,www.sandstruck.com,www.sandstruck.com,[],http,,up,2025-05-05 08:32:56,,75.2.100.220,
2556285,2017-02-22 15:07:26,www.hbv.se,www.hbv.se,[],http,1.0,up,2025-05-05 08:33:18,,95.216.145.33,
2778928,2017-04-24 18:09:30,www.accessconsciousness.com,www.accessconsciousness.com,[],http,1.0,paused,2025-02-10 04:31:04,www.accessconsciousness.com.dxcloud.episerver.net.,104.18.35.200;172.64.152.56,desi.ns.cloudflare.com.;austin.ns.cloudflare.com.
3169963,2017-07-05 15:04:15,bellman.com,bellman.com,"[""epwsweb104""]",http,,up,2025-05-05 08:33:28,,217.114.92.203,ns2.dnshost.net.;ns1.dnshost.net.
3771976,2017-10-19 12:27:23,www.onspot.com,www.onspot.com,"[""vbgweb02""]",http,,up,2025-05-05 08:33:48,,217.114.93.150,
1113145,2014-02-10 11:57:40,www.sunne.se,sunne.se,[],http,,up,2025-05-05 08:33:34,,217.114.94.2,vertex.nmugroup.se.;ns-any3.nmugroup.com.;origo.nmugroup.com.;ns-any1.nmugroup.se.;ns-any2.nmugroup.se.;unit.nmugroup.com.;ephemera.nmugroup.se.
